sku,weight (kg),depth (cm),width (cm),height (cm)
MFCL8900CDWZU1,35,59.5,66.5,64.5
MFCL9570CDWZU1,36.1,65.2,67.5,72.6
MFCL2750DWZU1,14.9,51.7,58,43.4
MFCL3730CDNZU1,23.4,47.5,41,41.4
MFCL3750CDWZU1,23.4,47.5,41,41.4
MFCJ6945DWZU1,28.7,57.6,68.1,50.4
DS720DZ1,1.18,7,35.4,25.4
1722C002,3.5,23.9,17,20.4
3801B003,6.5,27.8,31.8,18.55
4624B003,10.5,66.8,39.8,19.4
5482B003,2.6,18.1,31.3,9.3
9705B003,1,25.7,28.5,17.4
9725B003,3.2,60.6,28,36.64
9392B003,6.1,,,
9017B003,,33.5,46.9,12
2646C003,2.8,25.3,29.1,23.1
3259C003,2.6,15.6,30,22
3258C003,2.8,15.6,30,22
3151C003,25,56.9,48,31.5
3149C003,25,56.9,48,31.5
3150C003,25,56.9,48,31.5
4044C003,3.3,24.7,29.1,24.2
8746B008,8.5,33.1,59,15.9
0958C028,12.1,38.9,46.3,32
0971C028,,39.4,46.3,35.1
0960C028,11.4,39.4,46.3,29.1
2720C021,81.5,59,56,88
0958C008,12.1,38.9,46.3,32
3110C008,6,36.9,40.3,16.6
1418C111,11.4,37.1,39,36
2316C024,7.3,33,44.5,19.7
3101C022,26.7,46.9,47.1,46
3101C034,26.7,46.9,47.1,46
2925C033AA,12.9,40.5,39,37.5
2219C021AA,8.9,32,37.2,25.5
1255C003,4.5,28.2,30.5,23
0651C003,2.8,25.3,29.1,23.1
C11CF66001A4,67,100,91.5,59
C11CC25002,5.11,42.5,36,22
C11C376125,0.01,54.5,32.2,46.5
C11CC24032,5.2,42,36,21.5
C11CC25001,0.01,42.5,22,36
C31C514007A3,3.8,40,25,24.3
C11CF37402,8.91,54,45,28
C11CF39402A1,9.28,34,4,8
C11CF39403,8.91,53.4,44.6,28.1
C11CF39401,0.01,53.4,28.1,44.6
C11CF40403,12.2,73.5,45.1,29.5
B11B227401BY,3.7,21.2,29.6,21.7
B11B249401BY,2.5,15.2,29.7,15.4
B11B204131BY,18.5,84.4,63.5,36
B11B204331BY,35,87.5,74.5,53.4
B11B239401BY,3.7,31.5,45.1,12
B11B244401BY,,31.5,45.1,12
B11B228401BY,3.7,16.9,29.6,17.6
C31C518052,5.04,37.5,24,25
C31C246012,7.4,40.7,33.2,28.5
C33S045701,31.9,62,52,23
C11CE21301,0.02,74.5,41,49
C11CE22301BX,0.03,79.6,39.6,52.3
C11CD81404BY,12.2,32.2,,21.5
C11CE90401,6.3,37.7,,22.9
C11CD49301BS,,52.2,51.6,117.5
C11CD47301BS,,52.2,47.8,106
C11CF46401,4.6,30.4,44.5,16.9
C11CE20001A0,311.4,298.4,107.5,113.5
C11CE85301DA,16.1,72,53,35
C11CG43402,0.01,59.5,24,44.5
C11CG43401,8.5,37,47.9,15.9
C11CG21401CA,5.8,34.7,37.5,18.7
C11CG69401BY,,75.5,61.3,49.3
C11CG68401BY,45.8,75.5,61.3,49.3
C11CG70401BY,35.3,75.5,61.3,38.6
C11CG85401,5,34.7,37.5,23.7
C11CG26402BY,4.3,34.7,37.5,15.1
C11CG95402BY,3.5,26.7,37.5,16.1
C11CG22403CA,5.5,34.7,37.5,18.7
C51CB11030,2,21.85,26.15,13.72
C31C514057A0,4.06,37.5,24,25
C31CD84312,43.5,79,57,53.5
C31CD84012,43.5,79,57,53.5
C31CC79421,1.56,23.8,19.7,17.9
C31C412465,2.8,25,19.3,24
C51CD69130,0,26.7,8.8,21
C31CE74101A0,1.67,23.5,19.5,17.5
C51CD06200,0,24.6,21,16
C31CH77202,,51.5,44.4,32.6
